r	intercept	slope	subcl	all
CRC0053LMX0A02204TUMD07000V2.fit.0.12_0.24.r2:1	0.925173491302711	2.27522791455821	NA	8	206
CRC0053PRX0A01201TUMD05000V2.fit.0.12_0.24.r2:1	0.982763797105254	1.82120561314255	NA	7	213
CRC0065LMX0B02205TUMD02000V2.fit.0.12_0.24.r2:1	0.92209786927919	52.9610811461516	NA	136	481
CRC0065PRX0A01201TUMD03000V2.fit.0.12_0.24.r2:1	0.954428664540927	28.1334264157708	NA	73	394
CRC0071LMX0A02204TUMD09000V2.fit.0.12_0.24.r2:1	0.931357969823282	5.54812303417329	NA	18	266
CRC0071PRX0A01201TUMD06000V2.fit.0.12_0.24.r2:1	0.968214408992293	4.0743707980398	NA	14	241
CRC0094LMX0A02201TUMD05000V2.fit.0.12_0.24.r2:1	0.994116648879711	9.01502132515202	NA	33	370
CRC0094PRX0A01201TUMD06000V2.fit.0.12_0.24.r2:1	0.984391005492503	4.67773128894203	NA	15	203
CRC0333LMX0A02204TUMD07000V2.fit.0.12_0.24.r2:1	0.969500510257772	6.72068264833027	NA	20	373
CRC0333PRX0A01201TUMD07000V2.fit.0.12_0.24.r2:1	0.957880899382549	4.25562329893532	NA	13	313
CRC0440LMX0A02001TUMD08000V2.fit.0.12_0.24.r2:1	0.935399587125781	16.5648700217114	NA	44	369
CRC0440PRX0A01001TUMD12000V2.fit.0.12_0.24.r2:1	0.998361977213632	1.05650623997988	NA	3	57
CRC0449LMX0A01001TUMD08000V2.fit.0.12_0.24.r2:1	0.837704379213656	5.62003720563155	NA	10	198
CRC0449PRX0A01001TUMD11000V2.fit.0.12_0.24.r2:1	0.976683257423799	4.19588655416027	NA	15	274
CRC0468LMX0B02004TUMD07000V2.fit.0.12_0.24.r2:1	0.98	0.5616	NA	2	237
CRC0468PRX0B01001TUMD08000V2.fit.0.12_0.24.r2:1	0.941599276711254	3.26905669710224	NA	10	272
CRC0481LMX0A02001TUMD08000V2.fit.0.12_0.24.r2:1	0.984763178479646	4.02827521909426	NA	16	186
CRC0481PRX0A01001TUMD08000V2.fit.0.12_0.24.r2:1	0.953772820842627	5.56303954718434	NA	19	192
CRC0498LMX0A02001TUMD08000V2.fit.0.12_0.24.r2:1	0.947853470492314	17.3321814879614	NA	39	296
CRC0498PRX0A01001TUMD08000V2.fit.0.12_0.24.r2:1	0.995778806402738	10.9752483676987	NA	36	301
CRC0549LMX0B02004TUMD10000V2.fit.0.12_0.24.r2:1	0.996289634449873	12.1338148072611	NA	47	313
CRC0549PRX0A02004TUMD08000V2.fit.0.12_0.24.r2:1	0.914707369049593	1.96606942897782	NA	8	82
CRC0740LMX0A02001TUMD08000V2.fit.0.12_0.24.r2:1	0.886437890720953	10.8159004098319	NA	32	241
CRC0740PRX0A02001TUMD08000V2.fit.0.12_0.24.r2:1	0.981025565998016	20.8511286365446	NA	68	394
CRC1063LMX0A01001TUMD07000V2.fit.0.12_0.24.r2:1	0.933390446527332	21.5031007124846	NA	56	427
CRC1063PRX0B02001TUMD08000V2.fit.0.12_0.24.r2:1	0.95935467526562	3.15024067833463	NA	12	266
CRC1144LMX0A01001TUMD08000V2.fit.0.12_0.24.r2:1	0.965038039189234	23.4642328229018	NA	75	322
CRC1144PRX0B02002TUMD08000V2.fit.0.12_0.24.r2:1	0.950999289463816	22.3346662593643	NA	66	302
CRC1169LMX0A02001TUMD08000V2.fit.0.12_0.24.r2:1	0.965159035740226	64.2905376603029	NA	208	720
CRC1169PRX0A01001TUMD08000V2.fit.0.12_0.24.r2:1	0.957951646985033	41.7136082068792	NA	126	585
CRC1182LMX0A01001TUMD08000V2.fit.0.12_0.24.r2:1	0.991310543419374	14.0196280133084	NA	51	273
CRC1182PRX0A01001TUMD08000V2.fit.0.12_0.24.r2:1	0.923752834461739	9.01411981171832	NA	28	310
CRC1240LMX0A01001TUMD08000V2.fit.0.12_0.24.r2:1	0.98754855616115	8.19135810643583	NA	37	442
CRC1240PRX0B01001TUMD08000V2.fit.0.12_0.24.r2:1	0.919657043944467	4.61464406153517	NA	10	389
CRC1251LMX0A02001TUMD08000V2.fit.0.12_0.24.r2:1	0.898080892280082	12.8277248266648	NA	38	297
CRC1251PRX0A01001TUMD08000V2.fit.0.12_0.24.r2:1	0.9289601799049	13.507293072168	NA	43	346
CRC1331LMX0A02005TUMD03000V2.fit.0.12_0.24.r2:1	0.953438201207348	27.6091494498664	NA	88	394
CRC1331PRX0A01001TUMD05000V2.fit.0.12_0.24.r2:1	0.909401902171888	21.6084357710729	NA	71	323
CRC1387LMX0A02001TUMD03000V2.fit.0.12_0.24.r2:1	0.945433688158867	2.86584428360337	NA	9	331
CRC1387PRX0B01001TUMD05000V2.fit.0.12_0.24.r2:1	0.91725638351708	3.03630602729379	NA	11	398
CRC1473LMX0B02002TUMD03000V2.fit.0.12_0.24.r2:1	0.883389974984604	24.8023171258126	NA	61	390
CRC1473PRX0B01001TUMD03000V2.fit.0.12_0.24.r2:1	0.931528276751347	10.1285187334622	NA	32	275
CRC1486LMX0B02002TUMD03000V2.fit.0.12_0.24.r2:1	0.944768986422509	10.5907378265023	NA	39	355
CRC1486PRX0A01001TUMD03000V2.fit.0.12_0.24.r2:1	0.951563709364783	7.00221422531762	NA	21	272
CRC1599LMX0A02001TUMD03000V2.fit.0.12_0.24.r2:1	0.956889098211991	21.1806388899219	NA	60	345
CRC1599PRX0A02002TUMD03000V2.fit.0.12_0.24.r2:1	0.973221951783184	13.4575604066667	NA	36	261
CRC1624LMX0B02001TUMD03000V2.fit.0.12_0.24.r2:1	0.96860348945055	24.4418020259189	NA	86	607
CRC1624PRX0B02001TUMD03000V2.fit.0.12_0.24.r2:1	0.934425697789251	20.8878250526349	NA	57	443
CRC1673LMX0B02004TUMD03000V2.fit.0.12_0.24.r2:1	NA	NA	NA	0	38
CRC1673PRX0B02001TUMD03000V2.fit.0.12_0.24.r2:1	0.859406404435101	14.1897948545116	NA	44	482
CRC1824LMX0A02001TUMD03000V2.fit.0.12_0.24.r2:1	0.958706517394997	15.8642183244885	NA	53	467
CRC1824PRX0A02003TUMD03000V2.fit.0.12_0.24.r2:1	0.989935090032396	12.7049430224369	NA	44	476
CRC2790LMX0A02001TUMD03000V2.fit.0.12_0.24.r2:1	0.9726485846297	14.6147342690122	NA	50	323
CRC2790PRX0A02001TUMD03000V2.fit.0.12_0.24.r2:1	0.94146774653761	15.4900596493898	NA	47	314
