1	3	6	8	9	18	20	2
CRC0282LMO_bulk	0	8.03022520746458e-52	2.1131630834302e-89	1.0228727209192e-51	3.33930917343596e-20	2.65523854071191e-14	2.50816188978564e-87	3.02391272496855e-48
CRC0282_vitroMA	1.95844771514334e-80	1.28814962242621e-10	1	1	1	1	5.41806114083948e-142	1
CRC0282_vivoMA	3.14519040739835e-07	1	1	8.58814712797099e-07	1	1	7.9813244397724e-09	1
CRC0327LMO_bulk	3.46864399502463e-99	1	1	2.95180987232735e-11	1	4.58334580574244e-07	1	1.44021321408378e-05
CRC0327_vitroMA	8.22520270287388e-09	0.0151529354507943	1	8.35385418329737e-07	0.300032145948686	2.83167435425157e-15	0.627690524026522	5.18684627505644e-20
CRC0327_vivoMA	1	1	0.686310800936494	0.000167147889248558	1	2.40644837310659e-14	1	0.131901074638289
CRC0441LMO_bulk	3.77876005573032e-212	1	1	1.74784490703958e-32	6.5232442318332e-07	1.13845441370077e-21	1	6.08434529457183e-09
CRC0441_vitroMA	1	0.816621612639043	0.29972828100128	1.00286677813103e-08	1	3.87495088908148e-13	0.0153323824738914	1.0368318555485e-08
CRC0441_vivoMA	0.204402014576567	0.037974366942409	0.0843535333777211	0.0611872240811405	0.666032596992945	0.000253200328400021	0.330711417451661	0.169960397551028
CRC1078LMO_bulk	1.38230436188717e-78	1.8472567015896e-06	1	5.29452577507036e-27	0.0497454509057115	4.94184027824903e-09	0.078368982406792	1
CRC1078_vitroMA	8.26311783870969e-18	0.290327482901998	1	6.77891933987657e-25	0.067525314488211	1.06216490383752e-17	0.0892685710817333	0.0016902892708588
CRC1078_vivoMA	0.626864699505053	0.111000708657334	0.315308900065362	3.10457326311339e-29	0.000133813904774816	3.02281296538741e-09	8.16575746642998e-11	0.525693695293411
CRC1307LMO_bulk	4.09713760598127e-85	1.17987667178235e-09	1	1.08991777902693e-31	8.41270530893457e-17	0.0751066767805457	1	1
CRC1307_vitroMA	0.860738824015641	0.000678323742963137	6.08976985474333e-05	7.97555444378948e-08	0.172496700434486	1.29582221193762e-12	5.49386021953513e-17	0.000381219482834873
CRC1307_vivoMA	0.00142290420492036	0.113956658517732	1	1.20300403650536e-15	0.31270432778401	1.59431706938599e-08	0.258326341080969	0.0421306188417951
CRC1502LMO_bulk	2.92619032587231e-102	1	0.0241037270226435	2.68219047627462e-06	1.06461346977663e-13	4.51657067736067e-06	0.334385076084902	3.70585836628978e-06
CRC1502_vitroMA	1	1	1	2.94060634229526e-40	1.54337280044742e-64	8.84442862758297e-22	0.617432063597812	3.93243236422094e-05
CRC1502_vivoMA	1	1	1	1.06337917912137e-52	1	6.18703390537982e-38	1	1
CRC1599LMO_bulk	3.59644499408777e-98	1	0.224407182472705	5.51603573814165e-08	0.674026734762225	6.34877303101492e-13	0.00469011043535759	1.22981390504793e-17
CRC1599LM_vitroMA	0.888057217111149	1	0.300231037246025	1.13863318682751e-08	0.788048701792444	2.89569564221159e-31	1	1.46879285036908e-13
CRC1599LM_vivoMA	0.316291286037289	0.329749866370894	0.438940449157467	0.0141422186844424	0.16076474923798	4.72236307679471e-07	0.480169198215074	0.00422748688080735
CRC1599PRO_bulk	1.58108491213491e-101	1	1	2.02495440351266e-11	0.00283450252328161	0.000177747187798358	0.0723833088269985	0.000767206326889373
CRC1599PR_vitroMA	1	1	1	0.000228738429857382	1	1	0.29462609346723	1.93581788709115e-08
